ts,chain,token,disp_pct
2026-06-21T05:04:20.814479+00:00,solana,TRUMP,0.0
2026-06-21T05:04:20.814479+00:00,solana,USDG,0.0699
2026-06-21T05:04:20.814479+00:00,solana,USDE,0.01
2026-06-21T05:04:20.814479+00:00,solana,FO,0.378
2026-06-21T05:04:20.814479+00:00,solana,USDC,0.019
2026-06-21T05:04:20.814479+00:00,solana,SOL,0.737
2026-06-21T05:04:20.814479+00:00,base,CBETH,0.4319
2026-06-21T05:04:20.814479+00:00,base,WEETH,0.2084
2026-06-21T05:04:20.814479+00:00,base,USDC,0.0029
2026-06-21T05:04:20.814479+00:00,base,USDT,0.1303
2026-06-21T05:04:20.814479+00:00,base,BRETT,0.4769
2026-06-21T05:04:20.814479+00:00,base,VIRTUAL,0.3615
2026-06-21T05:04:20.814479+00:00,base,EURC,0.0
2026-06-21T05:04:20.814479+00:00,base,AERO,0.9768
2026-06-21T05:04:20.814479+00:00,base,ETH,1.6259
2026-06-21T05:04:20.814479+00:00,base,CBBTC,0.3624
2026-06-21T05:04:20.814479+00:00,base,WETH,0.2449
2026-06-21T05:04:20.814479+00:00,aptos,USDC,0.03
2026-06-21T05:04:20.814479+00:00,aptos,APT,0.0
2026-06-21T05:06:00.269983+00:00,sui,WAL,0.0
2026-06-21T05:06:00.269983+00:00,sui,CETUS,0.0546
2026-06-21T05:06:00.269983+00:00,sui,SUIUSDT,0.0
2026-06-21T05:06:00.269983+00:00,sui,USDC,0.2949
2026-06-21T05:06:00.269983+00:00,sui,USDSUI,0.3303
2026-06-21T05:06:00.269983+00:00,sui,SUI,0.1419
2026-06-21T05:06:00.269983+00:00,solana,JITOSOL,0.3293
2026-06-21T05:06:00.269983+00:00,solana,HYPE,0.6218
2026-06-21T05:06:00.269983+00:00,solana,PENGU,0.3697
2026-06-21T05:06:00.269983+00:00,solana,POPCAT,0.0859
2026-06-21T05:06:00.269983+00:00,solana,ORE,1.3426
2026-06-21T05:06:00.269983+00:00,solana,MET,0.9275
2026-06-21T05:06:00.269983+00:00,solana,USELESS,0.253
2026-06-21T05:06:00.269983+00:00,solana,JUP,1.5518
2026-06-21T05:06:00.269983+00:00,solana,TRUMP,0.0
2026-06-21T05:06:00.269983+00:00,solana,USDG,0.2183
2026-06-21T05:06:00.269983+00:00,solana,USDE,0.01
2026-06-21T05:06:00.269983+00:00,solana,FO,0.378
2026-06-21T05:06:00.269983+00:00,solana,USDC,0.019
2026-06-21T05:06:00.269983+00:00,solana,SOL,0.792
2026-06-21T05:06:00.269983+00:00,base,CBETH,0.4319
2026-06-21T05:06:00.269983+00:00,base,WEETH,0.2084
2026-06-21T05:06:00.269983+00:00,base,USDC,0.0029
2026-06-21T05:06:00.269983+00:00,base,USDT,0.0802
2026-06-21T05:06:00.269983+00:00,base,BRETT,0.4769
2026-06-21T05:06:00.269983+00:00,base,VIRTUAL,0.2967
2026-06-21T05:06:00.269983+00:00,base,EURC,0.0
2026-06-21T05:06:00.269983+00:00,base,AERO,1.1048
2026-06-21T05:06:00.269983+00:00,base,ETH,1.6259
2026-06-21T05:06:00.269983+00:00,base,CBBTC,0.3072
2026-06-21T05:06:00.269983+00:00,base,WETH,0.304
2026-06-21T05:06:00.269983+00:00,aptos,USDC,0.1069
2026-06-21T05:06:00.269983+00:00,aptos,APT,0.0
2026-06-21T05:07:39.993090+00:00,sui,WAL,0.0
2026-06-21T05:07:39.993090+00:00,sui,CETUS,0.1093
2026-06-21T05:07:39.993090+00:00,sui,SUIUSDT,0.0
2026-06-21T05:07:39.993090+00:00,sui,USDC,0.1889
2026-06-21T05:07:39.993090+00:00,sui,USDSUI,0.3203
2026-06-21T05:07:39.993090+00:00,sui,SUI,0.0284
2026-06-21T05:07:39.993090+00:00,solana,JITOSOL,0.3795
2026-06-21T05:07:39.993090+00:00,solana,HYPE,0.6218
2026-06-21T05:07:39.993090+00:00,solana,PENGU,0.3697
2026-06-21T05:07:39.993090+00:00,solana,POPCAT,0.043
2026-06-21T05:07:39.993090+00:00,solana,ORE,0.9091
2026-06-21T05:07:39.993090+00:00,solana,MET,0.9275
2026-06-21T05:07:39.993090+00:00,solana,USELESS,0.0931
2026-06-21T05:07:39.993090+00:00,solana,JUP,1.7841
2026-06-21T05:07:39.993090+00:00,solana,TRUMP,0.0
2026-06-21T05:07:39.993090+00:00,solana,USDG,0.1061
2026-06-21T05:07:39.993090+00:00,solana,USDE,0.01
2026-06-21T05:07:39.993090+00:00,solana,FO,0.378
2026-06-21T05:07:39.993090+00:00,solana,USDC,0.019
2026-06-21T05:07:39.993090+00:00,solana,SOL,0.287
2026-06-21T05:07:39.993090+00:00,base,CBETH,0.5374
2026-06-21T05:07:39.993090+00:00,base,WEETH,0.2084
2026-06-21T05:07:39.993090+00:00,base,USDC,0.0029
2026-06-21T05:07:39.993090+00:00,base,USDT,0.0802
2026-06-21T05:07:39.993090+00:00,base,BRETT,0.4769
2026-06-21T05:07:39.993090+00:00,base,VIRTUAL,0.1646
2026-06-21T05:07:39.993090+00:00,base,EURC,0.0
2026-06-21T05:07:39.993090+00:00,base,AERO,1.1232
2026-06-21T05:07:39.993090+00:00,base,ETH,1.6259
2026-06-21T05:07:39.993090+00:00,base,CBBTC,0.3353
2026-06-21T05:07:39.993090+00:00,base,WETH,0.3006
2026-06-21T05:07:39.993090+00:00,aptos,USDC,0.1069
2026-06-21T05:07:39.993090+00:00,aptos,APT,0.0
2026-06-21T05:09:19.621474+00:00,sui,WAL,0.0
2026-06-21T05:09:19.621474+00:00,sui,CETUS,0.2186
2026-06-21T05:09:19.621474+00:00,sui,SUIUSDT,0.0
2026-06-21T05:09:19.621474+00:00,sui,USDC,0.1789
2026-06-21T05:09:19.621474+00:00,sui,USDSUI,0.3203
2026-06-21T05:09:19.621474+00:00,sui,SUI,0.0284
2026-06-21T05:09:19.621474+00:00,solana,JITOSOL,0.2974
2026-06-21T05:09:19.621474+00:00,solana,HYPE,0.6218
2026-06-21T05:09:19.621474+00:00,solana,PENGU,0.3697
2026-06-21T05:09:19.621474+00:00,solana,POPCAT,0.043
2026-06-21T05:09:19.621474+00:00,solana,ORE,0.9091
2026-06-21T05:09:19.621474+00:00,solana,MET,0.9275
2026-06-21T05:09:19.621474+00:00,solana,USELESS,0.5207
2026-06-21T05:09:19.621474+00:00,solana,JUP,1.7841
2026-06-21T05:09:19.621474+00:00,solana,TRUMP,0.0
2026-06-21T05:09:19.621474+00:00,solana,USDG,0.4616
2026-06-21T05:09:19.621474+00:00,solana,USDE,0.01
2026-06-21T05:09:19.621474+00:00,solana,FO,0.378
2026-06-21T05:09:19.621474+00:00,solana,USDC,0.019
2026-06-21T05:09:19.621474+00:00,solana,SOL,0.5055
2026-06-21T05:09:19.621474+00:00,base,CBETH,0.5374
2026-06-21T05:09:19.621474+00:00,base,WEETH,0.2084
2026-06-21T05:09:19.621474+00:00,base,USDC,0.0029
2026-06-21T05:09:19.621474+00:00,base,USDT,0.0802
2026-06-21T05:09:19.621474+00:00,base,BRETT,0.4769
2026-06-21T05:09:19.621474+00:00,base,VIRTUAL,0.1152
2026-06-21T05:09:19.621474+00:00,base,EURC,0.0
2026-06-21T05:09:19.621474+00:00,base,AERO,1.0495
2026-06-21T05:09:19.621474+00:00,base,ETH,1.6259
2026-06-21T05:09:19.621474+00:00,base,CBBTC,0.3152
2026-06-21T05:09:19.621474+00:00,base,WETH,0.2953
2026-06-21T05:09:19.621474+00:00,aptos,USDC,0.1049
2026-06-21T05:09:19.621474+00:00,aptos,APT,0.0
2026-06-21T05:10:59.122995+00:00,sui,WAL,0.0
2026-06-21T05:10:59.122995+00:00,sui,CETUS,0.2186
2026-06-21T05:10:59.122995+00:00,sui,SUIUSDT,0.0
2026-06-21T05:10:59.122995+00:00,sui,USDC,0.1389
2026-06-21T05:10:59.122995+00:00,sui,USDSUI,0.3203
2026-06-21T05:10:59.122995+00:00,sui,SUI,0.0284
2026-06-21T05:10:59.122995+00:00,solana,JITOSOL,0.4339
2026-06-21T05:10:59.122995+00:00,solana,HYPE,0.6218
2026-06-21T05:10:59.122995+00:00,solana,PENGU,0.3697
2026-06-21T05:10:59.122995+00:00,solana,POPCAT,0.043
2026-06-21T05:10:59.122995+00:00,solana,ORE,0.9091
2026-06-21T05:10:59.122995+00:00,solana,MET,0.9275
2026-06-21T05:10:59.122995+00:00,solana,USELESS,0.5207
2026-06-21T05:10:59.122995+00:00,solana,JUP,1.7841
2026-06-21T05:10:59.122995+00:00,solana,TRUMP,0.0
2026-06-21T05:10:59.122995+00:00,solana,USDG,0.1682
2026-06-21T05:10:59.122995+00:00,solana,USDE,0.01
2026-06-21T05:10:59.122995+00:00,solana,FO,0.378
2026-06-21T05:10:59.122995+00:00,solana,USDC,0.019
2026-06-21T05:10:59.122995+00:00,solana,SOL,0.3008
2026-06-21T05:10:59.122995+00:00,base,CBETH,0.5374
2026-06-21T05:10:59.122995+00:00,base,WEETH,0.2084
2026-06-21T05:10:59.122995+00:00,base,USDC,0.0029
2026-06-21T05:10:59.122995+00:00,base,USDT,0.0802
2026-06-21T05:10:59.122995+00:00,base,BRETT,0.4769
2026-06-21T05:10:59.122995+00:00,base,VIRTUAL,0.181
2026-06-21T05:10:59.122995+00:00,base,EURC,0.0
2026-06-21T05:10:59.122995+00:00,base,AERO,1.049
2026-06-21T05:10:59.122995+00:00,base,ETH,1.6259
2026-06-21T05:10:59.122995+00:00,base,CBBTC,0.3251
2026-06-21T05:10:59.122995+00:00,base,WETH,0.2936
2026-06-21T05:10:59.122995+00:00,aptos,USDC,0.1049
2026-06-21T05:10:59.122995+00:00,aptos,APT,0.0
2026-06-21T05:12:38.477547+00:00,sui,WAL,0.0
2026-06-21T05:12:38.477547+00:00,sui,CETUS,0.2186
2026-06-21T05:12:38.477547+00:00,sui,SUIUSDT,0.0
2026-06-21T05:12:38.477547+00:00,sui,USDC,0.1389
2026-06-21T05:12:38.477547+00:00,sui,USDSUI,0.3203
2026-06-21T05:12:38.477547+00:00,sui,SUI,0.0284
2026-06-21T05:12:38.477547+00:00,solana,JITOSOL,0.436
2026-06-21T05:12:38.477547+00:00,solana,HYPE,0.7442
2026-06-21T05:12:38.477547+00:00,solana,PENGU,0.3549
2026-06-21T05:12:38.477547+00:00,solana,POPCAT,0.043
