t0,chain,token,entry_spread_pct,lo_dex,hi_dex,min_tvl,whale,n_samples,n_pos_after_entry,best_net_pct,actionable
2026-06-20T21:45:45.028055+00:00,base,WETH,0.3305,0x03C01Acae3D0173a93d819efDc832C7C4F153B06,hydrex,387401,1,8,0,-0.4739,0
2026-06-20T22:49:22.371154+00:00,solana,MSOL,3.4653,orca,meteora,258563,0,3,1,1.4178,0
2026-06-20T22:52:45.639734+00:00,sui,USDC,0.373,turbos-finance,cetus,333373,1,7,0,-0.8941,0
2026-06-20T22:52:45.639734+00:00,sui,USDSUI,0.3011,turbos-finance,bluefin,480533,0,7,0,-0.9076,0
2026-06-20T22:49:22.371154+00:00,solana,SOL,0.6812,meteora,raydium,570254,1,9,0,-0.0633,0
2026-06-20T22:49:22.371154+00:00,solana,JITOSOL,0.5449,orca,meteora,352695,0,9,0,-0.1952,0
2026-06-20T22:51:04.113643+00:00,solana,JUP,0.3283,meteora,meteora,411560,1,8,0,-0.4332,0
2026-06-20T22:49:22.371154+00:00,base,AERO,0.6697,aerodrome,aerodrome,542679,1,9,0,-0.2957,0
2026-06-20T22:51:04.113643+00:00,base,CBBTC,1.1306,uniswap,aerodrome,430165,1,8,0,-0.1507,0
2026-06-20T22:51:04.113643+00:00,base,WETH,0.6019,uniswap,pancakeswap,729227,1,8,0,-0.3522,0
2026-06-20T22:52:45.639734+00:00,base,VIRTUAL,0.7232,aerodrome,uniswap,1160636,1,7,3,0.0748,1
2026-06-20T23:57:33.471713+00:00,solana,MET,0.6854,meteora,meteora,811240,1,2,0,-0.9936,0
2026-06-20T23:57:33.471713+00:00,solana,BONK,0.4559,meteora,meteora,310615,0,9,0,-0.9431,0
2026-06-20T23:59:15.169874+00:00,solana,JUP,0.6683,meteora,meteora,411150,1,8,1,0.1033,0
2026-06-21T00:04:21.097004+00:00,solana,MET,1.0101,meteora,meteora,840207,1,5,0,-0.2104,0
2026-06-21T00:06:03.545833+00:00,solana,SOL,0.6287,orca,raydium,568608,1,4,1,0.2036,0
2026-06-21T00:00:56.619286+00:00,base,WETH,0.6764,uniswap,0x03C01Acae3D0173a93d819efDc832C7C4F153B06,387633,1,7,0,-0.527,0
2026-06-21T00:02:38.891635+00:00,base,CBBTC,1.1356,uniswap,quickswap,260295,1,6,0,-0.2148,0
2026-06-21T00:04:21.097004+00:00,base,CBETH,0.4017,aerodrome,pancakeswap,303746,1,5,0,-1.4652,0
2026-06-21T00:49:21.013988+00:00,solana,PUMP,0.7785,meteora,orca,459276,0,20,0,-0.22,0
2026-06-21T00:50:55.808340+00:00,solana,JUP,1.5767,meteora,meteora,411132,1,20,4,0.8677,1
2026-06-21T00:50:55.808340+00:00,solana,SOL,0.6311,meteora,raydium,568145,1,20,2,0.5,1
2026-06-21T00:50:55.808340+00:00,base,CBBTC,1.2166,uniswap,aerodrome,430165,1,20,0,-0.1322,0
2026-06-21T00:50:55.808340+00:00,base,WETH,0.5263,uniswap,uniswap,724922,1,20,0,-0.527,0
2026-06-21T00:52:30.363063+00:00,solana,TRIPLET,1.4046,pumpswap,meteora,286418,0,20,2,0.1508,1
2026-06-21T00:57:14.494189+00:00,base,AERO,0.4541,aerodrome,uniswap,370069,1,20,1,0.1419,0
2026-06-21T01:30:50.051004+00:00,sui,SUI,0.3246,steamm,momentum,355322,0,2,0,-1.5985,0
2026-06-21T01:09:07.465551+00:00,sui,USDSUI,0.4104,bluefin,turbos-finance,395857,1,16,0,-0.5857,0
2026-06-21T01:23:40.437506+00:00,solana,PUMP,1.9732,pumpswap,meteora,1435398,1,12,0,-0.217,0
2026-06-21T01:12:21.926099+00:00,base,VIRTUAL,0.346,aerodrome,uniswap,422341,1,18,0,-0.7157,0
2026-06-21T01:17:12.990353+00:00,solana,MET,1.8496,meteora,meteora,262471,0,17,1,0.0148,0
2026-06-21T01:17:12.990353+00:00,solana,USDG,0.9101,orca,orca,3439890,0,17,0,-0.2071,0
2026-06-21T01:22:03.559865+00:00,solana,JITOSOL,0.534,orca,meteora,350703,0,17,0,-0.2803,0
2026-06-21T01:23:40.437506+00:00,solana,JUP,0.9818,meteora,meteora,411763,1,16,4,0.1751,1
2026-06-21T01:23:40.437506+00:00,solana,SOL,0.508,meteora,raydium,1650225,1,17,5,0.5805,1
2026-06-21T01:30:50.051004+00:00,solana,TRIPLET,0.7891,pumpswap,meteora,312462,1,17,0,-0.1928,0
2026-06-21T01:32:27.948194+00:00,base,AERO,0.7652,aerodrome,uniswap,370067,1,17,0,-0.0961,0
2026-06-21T01:35:43.787527+00:00,base,WETH,0.4049,uniswap,aerodrome,724813,1,17,0,-0.6338,0
